angle, distance, x, y
75.000000, 0.430000, 0.111292, 0.415348
76.812500, 0.450000, 0.102662, 0.438133
78.437500, 0.470000, 0.094205, 0.460462
80.312500, 0.440000, 0.074041, 0.433726
81.937500, 0.420000, 0.058906, 0.415849
83.750000, 0.420000, 0.045724, 0.417504
85.375000, 0.400000, 0.032254, 0.398698
87.250000, 0.440000, 0.021110, 0.439493
89.062500, 0.420000, 0.006872, 0.419944
90.687500, 0.340000, -0.004080, 0.339976
92.500000, 0.390000, -0.017012, 0.389629
94.187500, 1.610000, -0.117563, 1.605702
96.000000, 0.400000, -0.041811, 0.397809
97.625000, 2.010000, -0.266705, 1.992227
99.437500, 0.570000, -0.093464, 0.562285
101.125000, 2.320000, -0.447644, 2.276404
102.937500, 2.330000, -0.521659, 2.270853
104.562500, 2.380000, -0.598418, 2.303540
106.375000, 2.380000, -0.670976, 2.283460
108.062500, 2.400000, -0.744130, 2.281725
109.875000, 4.750000, -1.614854, 4.467074
111.687500, 4.290000, -1.585344, 3.986325
113.500000, 4.080000, -1.626896, 3.741605
115.187500, 0.010000, -0.004256, 0.009049
117.000000, 2.380000, -1.080497, 2.120596
118.625000, 2.400000, -1.149780, 2.106658
120.437500, 2.340000, -1.185440, 2.017507
122.125000, 2.340000, -1.244337, 1.981723
123.937500, 0.250000, -0.139572, 0.207412
125.562500, 0.010000, -0.005816, 0.008135
127.375000, 0.010000, -0.006070, 0.007947
129.062500, 0.010000, -0.006302, 0.007765
130.875000, 0.500000, -0.327205, 0.378070
132.687500, 0.500000, -0.339000, 0.367531
134.500000, 0.440000, -0.308400, 0.313830
136.125000, 0.470000, -0.338801, 0.325751
137.812500, 0.440000, -0.326018, 0.295486
139.625000, 0.400000, -0.304728, 0.259115
141.250000, 0.420000, -0.327551, 0.262888
143.062500, 0.390000, -0.311724, 0.234368
144.750000, 0.420000, -0.342989, 0.242401
146.562500, 0.480000, -0.400554, 0.264493
148.187500, 0.420000, -0.356907, 0.221399
149.875000, 0.390000, -0.337324, 0.195736
151.500000, 0.430000, -0.377891, 0.205178
153.312500, 0.320000, -0.285910, 0.143720
155.125000, 0.290000, -0.263096, 0.121986
156.812500, 0.340000, -0.312535, 0.133872
158.437500, 0.320000, -0.297606, 0.117605
160.062500, 0.190000, -0.178612, 0.064789
161.875000, 0.280000, -0.266106, 0.087106
